organization organization_new
"free univ berlin" "free berlin univ"
"med univ klin freiburg" "med klin freiburg univ"
"johannes gutenberg univ mainz" "johannes gutenberg mainz univ"
"chirurg univ klin freiburg" "freiburg univ"
"univ freiburg" "freiburg univ"
"univ klinikum freiburg i br" "freiburg univ"
"univ klinikum heidelberg" "klinikum heidelberg univ"
"univ marburg" "marburg univ"
"univ klin kinder & jugendmed tubingen" "klin kinder jugendmed tubingen univ"
"univ klin kinder & jugendmed" "klin kinder jugendmed univ"
"univ klinder & jugendklin rostock" "klinder jugendklin rostock univ"
"univ giessen" "giessen univ"
"tech univ kaiserslautern" "tech kaiserslautern univ"
"univ dusseldorf" "dusseldorf univ"
"univ gottingen" "gottingen univ"
"univ tubingen" "tubingen univ"
"univ klinikum giessen & marburg" "klinikum giessen marburg univ"
"orthopad univ klin friedrichsheim ggmbh" "orthopad klin friedrichsheim ggmbh univ"
"ruhr univ bochum" "ruhr bochum univ"
"univ klinikum hamburg eppendorf" "klinikum hamburg eppendorf univ"
"univ ulm" "ulm univ"
"univ duisburg essen" "duisburg essen univ"
"otto von guericke univ" "otto von guericke univ"
"univ rostock" "rostock univ"
"univ med gottingen" "med gottingen univ"
"leibniz univ hannover" "leibniz hannover univ"
"univ hamburg" "hamburg univ"
"univ trier" "trier univ"
"univ wurzburg" "wurzburg univ"
"univ bielefeld" "bielefeld univ"
"univ hildesheim" "hildesheim univ"
"tech univ braunschweig" "tech braunschweig univ"
"univ stuttgart" "stuttgart univ"
"univ saarland" "saarland univ"
"univ med mannheim" "med mannheim univ"
"univ leipzig" "leipzig univ"
"univ klin erlangen" "klin erlangen univ"
"univ leipzig herzzentrum leipzig" "leipzig herzzentrum leipzig univ"
"univ klinikum tubingen" "tubingen univ"
"univ ulm klinikum" "ulm klinikum univ"
"univ klinikums essen" "klinikums essen univ"
"univ heidelberg" "heidelberg univ"
"goethe univ frankfurt" "goethe frankfurt univ"
"med univ klin heidelberg" "med klin heidelberg univ"
"univ bayreuth" "bayreuth univ"
"univ kiel" "kiel univ"
"tech univ carolo wilhelmina braunschweig" "tech carolo wilhelmina braunschweig univ"
"univ bremen" "bremen univ"
"tech univ clausthal" "tech clausthal univ"
"univ frauenklin heidelberg" "frauenklin heidelberg univ"
"univ frauenklin bonn" "frauenklin bonn univ"
"univ klinikum leipzig" "klinikum leipzig univ"
"univ klinikum regensburg" "klinikum regensburg univ"
"univ klinikum jena" "klinikum jena univ"
"med univ klin tubingen" "med klin tubingen univ"
"med univ klin" "med klin univ"
"univ klin heidelberg" "klin heidelberg univ"
"univ freiburg klinikum" "freiburg klinikum univ"
"univ maastricht" "maastricht univ"
"univ klin koln" "klin koln univ"
"klinikum eberhard karls univ tubingen" "klinikum eberhard karls tubingen univ"
"charite univ med berlin" "charite med berlin univ"
"univ klinikum leipzig aor" "klinikum leipzig aor univ"
"chirurg univ klin rostock" "chirurg klin rostock univ"
"chirurg univ klin" "chirurg klin univ"
